,Country,Happiness_Score,GDP,Social_Support,Life_Expectancy (Happiness),Freedom_Score,Generosity,Corruption_Score,Happiness (Dystopia),Beer_Servings,Spirit_Servings,Wine_Servings,Total_L_Pure_Alcohol,Life_Expectancy (LED),Adult_Mortality,infantdeaths,GDP_Health_Gov_Expenditure (%),HepatitisB,Measles,BMI,under-fivedeaths,Polio,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,HDI,Schooling
44,Cyprus,6.15899992,10.40570259,0.8059962390000001,73.70222473,0.7798582909999999,0.043731495999999995,0.8562717440000001,1.9723167419999998,192.0,154.0,113.0,8.2,85.0,52.0,0.0,0.0,97.0,0.0,6.3,0.0,97.0,97.0,0.1,2375.1127,116985.0,1.0,1.0,0.8540000000000001,14.3
45,Nicaragua,6.13710022,8.493160247999999,0.8574970359999999,67.50717926,0.8639028670000001,0.020959141,0.665950119,1.9723167419999998,78.0,118.0,1.0,3.5,74.8,145.0,2.0,0.0,98.0,0.0,54.0,2.0,99.0,98.0,0.1,295.96648799999997,68235.0,1.8,1.7,0.642,11.7
46,Romania,6.123700142000001,10.107584,0.8251615170000001,67.20723724,0.842823207,-0.19781521,0.9343002440000001,1.9723167419999998,297.0,122.0,167.0,10.4,75.0,133.0,2.0,0.0,9.0,4.0,6.7,2.0,89.0,89.0,0.1,8958.788593000001,19815481.0,2.5,2.7,0.7979999999999999,14.7
47,Kuwait,6.102099895,11.08982468,0.8464752440000001,66.76764679,0.8723664879999999,-0.100184701,0.7608490590000001,1.9723167419999998,0.0,0.0,0.0,0.0,74.7,81.0,0.0,0.0,99.0,18.0,71.4,1.0,99.0,99.0,0.1,28975.417999999998,12796652.364,3.5,3.4,0.799,13.3
48,Mauritius,6.101299762999999,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.8053430909999999,1.9723167419999998,98.0,31.0,18.0,2.6,74.6,146.0,0.0,0.0,97.0,0.0,33.3,0.0,98.0,97.0,0.1,9252.117240000001,126265.0,6.9,6.8,0.779,15.2
49,Kazakhstan,6.0578999520000005,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.7644908429999999,1.9723167419999998,124.0,246.0,12.0,6.8,72.0,198.0,4.0,0.0,98.0,526.0,53.1,5.0,98.0,98.0,0.1,159.9817,17544126.0,2.4,2.5,0.7929999999999999,15.0
50,Estonia,6.0218000410000005,10.34001732,0.9347299929999999,68.60495758,0.87770915,-0.111697771,0.623073816,1.9723167419999998,224.0,194.0,59.0,9.5,77.6,119.0,0.0,0.0,91.0,4.0,59.9,0.0,93.0,93.0,0.1,1774.9291,131547.0,1.9,1.9,0.863,16.5
51,Philippines,6.006000042,8.993545532,0.8467300529999999,61.92676163,0.915463448,-0.105463006,0.7336341140000001,1.9723167419999998,71.0,186.0,1.0,4.6,68.5,211.0,52.0,0.0,6.0,619.0,25.4,66.0,79.0,6.0,0.1,2878.33837,11716359.0,1.0,9.7,0.679,11.7
52,Hungary,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.19432301800000001,0.892916501,1.9723167419999998,234.0,215.0,185.0,11.3,75.8,134.0,0.0,0.0,80.9051094890511,0.0,64.8,0.0,99.0,99.0,0.1,12365.6263,984328.0,1.6,1.6,0.8340000000000001,15.6
53,Thailand,5.9987998010000005,9.741791725,0.8899732229999999,67.25059509,0.905063033,0.268685192,0.8862723109999999,1.9723167419999998,99.0,258.0,1.0,6.4,74.9,148.0,8.0,0.0,99.0,154.0,33.6,9.0,99.0,99.0,0.1,5814.863134,686576.0,7.7,7.7,0.738,13.6
